Bioassay_ID	sentrix_id	dkfz_v12.8_superfamily	dkfz_v12.8_superfamily_maxscore	dkfz_v12.8_family	dkfz_v12.8_family_maxscore	dkfz_v12.8_class	dkfz_v12.8_class_maxscore	dkfz_v12.8_subclass	dkfz_v12.8_subclass_maxscore	NIH_v3.1_superfamily	NIH_v3.1_superfamily_meanscore	NIH_v3.1_class	NIH_v3.1_class_score	NIH_v3.1_subclass	NIH_v3.1_subclass_meanscore
BS_BEG2KZHH	206402350130_R04C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999828304	Diffuse Midline Glioma, H3k27-Altered	0.999823929	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999823642	DMG_K27	0.999823642	Diffuse midline glioma, H3 K27-altered	0.987	Diffuse midline glioma, H3 K27-altered	0.987	DMG K27	0.987
BS_1D4N9CKA	206402350020_R05C01	Paediatric-Type Diffuse High-Grade Gliomas	0.99994134	Diffuse Midline Glioma, H3k27-Altered	0.999941303	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999941296	DMG_K27	0.999941296	Diffuse midline glioma, H3 K27-altered	0.987	Diffuse midline glioma, H3 K27-altered	0.987	DMG K27	0.987
BS_SKGSC6PE	205567990034_R02C01	Tumours Of The Sellar Region	0.384200983	Craniopharyngioma	0.356259592	Papillary Craniopharyngioma	0.238725109	CPH_PAP	0.238725109	Epithelial tumors	0.967	Papillary craniopharyngioma	0.937	CPH PAP	0.937
BS_N56WYDCZ	206402350020_R07C01	Other CNS Embryonal Tumours	0.999893629	Atypical Teratoid Rhabdoid Tumour	0.99987768	Atypical Teratoid Rhabdoid Tumour, SHH Activated	0.999701909	ATRT_SHH	0.999701909	SMARC-altered tumors	0.987	Atypical teratoid/rhabdoid tumor	0.987	ATRT SHH	0.986
BS_WMSJC65B	205624900113_R05C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.974860011	Low-Grade Glioneuronal Tumour	0.857776637	Dysembryoplastic Neuroepithelial Tumour	0.828675826	DNET	0.828675826	Low-grade glial/glioneuronal tumors	0.989	Dysembryoplastic neuroepithelial tumor	0.525	DNT	0.525
BS_DPN8T66Y	205624860106_R02C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.755529145	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.651775534	Ganglioglioma	0.329346977	GG	0.329346977	Low-grade glial/glioneuronal tumors	0.989	Ganglioglioma	0.952	GG	0.952
BS_8SAH8JDS	206390560102_R04C01	Meningioma	0.999855259	Meningioma	0.999855259	Meningioma, Intermediate	0.994435609	MNG_INT_A	0.858277513	Meningioma	0.988	Meningioma, intermediate	0.962	MNG INT A	0.851
BS_MVWMFRQR	205624860068_R08C01	Medulloblastoma	0.999081124	Medulloblastoma Non-WNT/Non-SHH Activated	0.998944037	Medulloblastoma Group 4	0.998596069	MB_G34_VII	0.962513815	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 VII	0.988
BS_GTSTAR3W	205676390090_R01C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999842025	Diffuse Midline Glioma, H3k27-Altered	0.999839028	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999838577	DMG_K27	0.999838577	Diffuse midline glioma, H3 K27-altered	0.984	Diffuse midline glioma, H3 K27-altered	0.984	DMG K27	0.984
BS_7KDV25PK	205657380008_R06C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.246787178	Low-Grade Glioneuronal Tumour	0.168394539	Papillary Glioneuronal Tumour	0.116890272	PGNT	0.116890272	Intermediate-grade IDH-wildtype gliomas	0.982	High-grade astrocytoma with piloid features	0.502	HGAP	0.502
